id,text,Anotator-1,Annotator-2,Annotator-3,Final annotation,,
1.38E+18,Proud to see Pfizer committed to increasing diversity by designing this first-of-its-kind program to enhance our pipeline of diverse talent. #PfizerProud #OnePfizer #PFEColleague,,X,X,X,,
1.37E+18,"I knew it the whole plan was to control the population by forcing us to get the vaccine because if we don’t get it, we can possibly be black listed from society. Pretty much forgotten.",,-1,-1,-1,,
1.41E+18,why is my county the worst at getting vaccinated and nobody wears masks anymore i’m sick,,1,1,1,,
1.44E+18,"#AbLeg


Just as info for all people about your vaccine status in Canada , no one has the right to ask nor your employer",,0,0,0,,
1.40E+18,I feel ten times sexier since I got the first dose of the vaccine can't wait to get the second dose 😈,,1,1,1,,
1.44E+18,Just wanna say I am very excited and happy there are vaccine mandates. I hope they become even more widespread.,,1,1,1,,
1.38E+18,"As the Dumbarton &amp; West Scotland candidate for @ScoLibertarian, I will fully oppose mandatory vaccination laws and mandatory face mask/visor laws as well as oppose vaccine passports.",,0,0,0,,It is against the totaltarian govt. not vaccination.
1.40E+18,European Union Approves Pfizer-BioNTech Jab For 12 To 15-Year-Olds,,0,0,0,,
1.41E+18,"The problem with mandatory vaccination is the removal of human right in protecting one’s health and life, including the choice of vaccine to use.",,0,0,0,,
1.38E+18,Trudeau sending help to Ontario as Pfizer vaccine supply bolstered by 8 million doses - BNN Bloomberg  @JustinTrudeau @fordnation secure @Novavax,,0,0,0,,
1.38E+18,"Arrivati i nuovi vaccini per il Veneto, AstraZeneca e Moderna  via @mattino_padova",,0,0,0,,
1.42E+18,"Trump is STILL Risking Thousands of COVID Deaths: Linking Distrust in Vaccine to Distrust of Election, for His Gain  via @NicoleJames",,1,1,1,,
1.42E+18,Texas Governor Issues Executive Order Prohibiting Mask or Vaccine Mandates  via @thedailybeast,,0,0,0,,
1.43E+18,@ScottMorrisonMP take note.. Travel to Madeira 🇵🇹 from London for a holiday is so easy. The country has got everything set up perfectly! No test for vaccinated arrivals or test on landing. Fill out a form their website - get a QR code and scan to exit the airport.,,0 or X,0,,,
1.38E+18,"Hypothetical input pls: 

Symptoms of colitis w/ bleeding (coffee grounds), nausea for hours+ after food or too much drink. 

When does ER, urgent, etc care outweigh covid risk for ppl w/ a severe chronic lung condition &amp; only the first dose of vaccine for another 2 wks?",,0,0,0,,
1.38E+18,"This game is like when I tried to get the vaccine in December, was 19,547 on the list at 9 am, by time I got to 50, they closed window. There’ll be a new strain of Covid by time game is over.",,1,1,1,,
1.42E+18,"@DBalasore 
I had booked the 2nd dose of vaccination slot for my mother yesterday.
As per the slot my mom was supposed to be vaccinated today but somehow she didn't reach the vaccination center but she got a message saying ""you have successfully been vaccinated with 2nd dose""",,1,1,1,,
1.42E+18,Fuck all you bitches going out while feeling sick or you non vaccinated bitches going out without wearing a mask,,1,1,1,,
1.38E+18,"CDC: Preliminary studies reveal Pfizer vaccine is good for at least 6 months. 

People: OMG the Pfizer vaccine is only good for 6 months. 

Y’all take reading comprehension in school????",,0,0,0,,
1.38E+18,PETITION: No to mandatory vaccination for the coronavirus | LifePetitions,,0,0,0,,Against mandatory vaccination.
1.42E+18,If you support mandatory vaccinations or any form of coercion or pressure on others to get vaccinated I’d suggest you unfollow me,,0,0,0,,
1.44E+18,Canadian man punches nurse in the face multiple times after his wife is vaccinated for COVID-19,,0,0,0,,
1.39E+18,"#CPIdaCovid O governo reclamou do preço da Pfizer no ano passado a U$ 10,00 (a dose) e assinaram o contrato agora a U$ 12,00 (A dose)...",,0,0,0,,
1.40E+18,"CORONAVIRUS ➡️ @albaverges exigeix a l’Estat que posi per escrit que aposta per posar Pfizer als que han rebut la primera dosi d’AZ 
✔️ La consellera en funcions afirma que posar una vacuna diferent implica ""saltar-se"" la fitxa tècnica aprovada per l'EMA",,1,0,0,,
1.42E+18,"After getting my vaccine today, I am really regretting signing myself up to work this event tomorrow night. 😐",,1,0,1,,
1.38E+18,Jahana Hayes: No Mandatory Covid-19 vaccine or mandatory vaccinations!  via @Change,,0,0,0,,
1.39E+18,"Can’t say I’m not productive, I caught my ambivalent son half asleep at 3am and suckered him into giving me his insurance info. Guess who’s got a vaccine appt first thing this morning 💉 😄🥳 Don’t mess w mama, he’s gonna get that damn shot if I have to stick his arm myself!!!",,1,1,1,,
1.44E+18,"Me: AAAAH FULLY VACCINATED AKO
Also me: wala akong pamasahe at pambili ng ticket. 

Sabay sabay tayong umiyak sa gedli. 🥲🤣",,1,1,1,,
1.39E+18,"“Post 77 has been a tremendous and generous partner in collaboration w/ @Reid_Health in getting the #vaccine out to our community. Their story of support &amp; work in helping making this vaccine clinic happen, well, it's inspiring.”  #COVID19 #BestOfTheWeek",,1,1,1,,
1.37E+18,"Fully vaccinated Pennsylvanians can gather without masks, but only in these situations",,0,0,0,,
1.44E+18,"With a federal election and a pandemic in our midst, COVID-19 policy is a priority for many Canadians. Curious to see where each major party stands on vaccination, domestic vaccine production and more? Have a read here!🦠😷",,0,0,0,,
1.40E+18,"Hi @POTUS @BorisJohnson @JustinTrudeau @JPN_PMO - please start donating #COVID19 vaccine doses now, to reach health workers and the most vulnerable globally. Vaccine nationalism puts the world, people’s lives, and your economies at risk.  We can only defeat #COVID19 together.",,1,1,1,,
1.44E+18,"""Biden's vaccine mandate for workers is supported by legal precedents, experts say"" #CAP",,0,0,0,,
1.40E+18,"En na de mensen volgen straks de dieren voor hun Pfizer shotje - New coronavirus found, and it jumped from dogs to people",,0,0,0,,
1.42E+18,"Ok friends, sorry but I made it. Just checked the amazing work in regards to properties these people did and I had no excuses. Got a fully healthy + vaccinated with Pfizer @COVIDPunksNFT. And the floor is rising rn",,1,1,1,,
1.45E+18,Pfizer says submits US emergency authorization request for Covid vaccine for children age 5-11,,0,0,0,,
1.39E+18,"A moral conversation dad and I have from time to time due to my bro being in a care home… 

Should carers have to have the vaccine to do their jobs?",,0,0,0,,
1.42E+18,I told my child’s father I wasn’t comfortable with him being around me  or my child if he’s not vaccinated. Now the anti vaxxer is getting vaccinated 🙏🏽😎 He know I do not play about my damn baby.,,1,1,1,,
1.44E+18,WSJ: YouTube to Remove Videos With Vaccine Misinformation,,0,0,0,,
1.39E+18,@Richzeoli @1210WPHT gym if you are vaccinated you don't need a mask on the honor system I'm 36 and my doctor told me she isn't recommending the vaccine for me I don't do flue shots and last time I was sick was 5 years ago so no mask at the gym flee market no one had one on 🎉🎊,,-1,-1,-1,,
1.42E+18,"''He feels as though he's being manipulated, and it's mandatory vaccination via the back door''

Mum Karen tells @TVNaga01 how hard it is to persuade her 25-year-old son to take up the Covid vaccine.

Listen via @BBCSounds",,1,1,1,,
1.43E+18,Received an email from uni. Students from the LGAs of concern can go to uni for study without vaccination proofs. But HDR students (even not live in the 12 LGAs + fully vaccinated) are not allowed to access the research center.,,0,0,0,,
1.43E+18,ได้ฉีด Pfizer Booster แล้วงับ ♥ ขอบคุณคุณโจ ไบเดนมาก ๆ เลย ทีนี้จะได้ดูแลคนไข้ได้อย่างสบายใจซะที,,X,X,X,,
